Context;Relation;Maximum_Cardinality;Likelihood
Top;http://dbpedia.org/ontology/abstract;12;0.993128113
Top;http://www.w3.org/2000/01/rdf-schema#comment;12;0.993128113
Top;http://www.w3.org/2000/01/rdf-schema#label;12;0.993575125
http://dbpedia.org/class/yago/GeographicalArea108574314;http://dbpedia.org/property/subdivisionType;5;0.985758207
http://dbpedia.org/ontology/Village;http://dbpedia.org/property/subdivisionType;5;0.990520855
http://www.wikidata.org/entity/Q532;http://dbpedia.org/property/subdivisionType;5;0.990892308
Top;http://dbpedia.org/ontology/isPartOf;4;0.977466039
http://www.wikidata.org/entity/Q476028;http://dbpedia.org/property/pos;4;0.974957734
http://dbpedia.org/class/yago/WikicatPopulatedPlacesInSlovenia;http://dbpedia.org/property/subdivisionType;4;0.979236692
Top;http://www.w3.org/2003/01/geo/wgs84_pos#geometry;4;0.986584585
http://dbpedia.org/class/yago/WikicatPopulatedPlacesInSlovenia;http://dbpedia.org/ontology/isPartOf;3;0.977921696
http://dbpedia.org/class/yago/WikicatVillagesInMasovianVoivodeship;http://dbpedia.org/ontology/isPartOf;3;0.971147612
http://dbpedia.org/class/yago/WikicatVillagesInTurkey;http://dbpedia.org/property/subdivisionType;3;0.97777449
http://dbpedia.org/class/yago/WikicatVillagesInTheCzechRepublic;http://dbpedia.org/property/subdivisionType;3;0.976576312
Top;http://dbpedia.org/ontology/areaCode;2;0.976038141
Top;http://dbpedia.org/ontology/areaLand;2;0.990745675
Top;http://dbpedia.org/ontology/areaTotal;2;0.989732508
Top;http://dbpedia.org/ontology/areaWater;2;0.986925271
Top;http://dbpedia.org/ontology/birthDate;2;0.997620117
http://www.wikidata.org/entity/Q3914;http://dbpedia.org/ontology/country;2;0.97186882
http://schema.org/School;http://dbpedia.org/ontology/country;2;0.97186882
Top;http://dbpedia.org/ontology/deathDate;2;0.996121065
Top;http://dbpedia.org/ontology/elevation;2;0.99241696
http://dbpedia.org/class/yago/WikicatVillagesInTurkey;http://dbpedia.org/ontology/isPartOf;2;0.9780656
http://dbpedia.org/class/yago/WikicatVillagesInTheCzechRepublic;http://dbpedia.org/ontology/isPartOf;2;0.977002298
Top;http://dbpedia.org/ontology/issn;2;0.973197887
http://dbpedia.org/class/yago/Plant100017222;http://dbpedia.org/ontology/order;2;0.988337486
http://umbel.org/umbel/rc/Plant;http://dbpedia.org/ontology/order;2;0.97842351
http://umbel.org/umbel/rc/FloweringPlant;http://dbpedia.org/ontology/order;2;0.980475075
http://www.wikidata.org/entity/Q756;http://dbpedia.org/ontology/order;2;0.992318474
http://dbpedia.org/ontology/Plant;http://dbpedia.org/ontology/order;2;0.992194714
Top;http://dbpedia.org/ontology/parent;2;0.975443563
http://dbpedia.org/ontology/Crustacean;http://dbpedia.org/ontology/phylum;2;0.971142396
http://dbpedia.org/class/yago/Animal100015388;http://dbpedia.org/ontology/phylum;2;0.971919872
Top;http://dbpedia.org/ontology/PopulatedPlace/areaTotal;2;0.990745821
Top;http://dbpedia.org/ontology/PopulatedPlace/populationDensity;2;0.989650029
Top;http://dbpedia.org/ontology/populationDensity;2;0.989652436
http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#Event;http://dbpedia.org/ontology/team;2;0.970800675
http://schema.org/Event;http://dbpedia.org/ontology/team;2;0.970800675
http://dbpedia.org/ontology/Event;http://dbpedia.org/ontology/team;2;0.97081072
http://schema.org/SportsEvent;http://dbpedia.org/ontology/team;2;0.970800675
http://www.wikidata.org/entity/Q1656682;http://dbpedia.org/ontology/team;2;0.970800675
Top;http://dbpedia.org/ontology/timeZone;2;0.995180942
Top;http://dbpedia.org/ontology/utcOffset;2;0.99620126
Top;http://dbpedia.org/property/imageMap;2;0.98199868
http://www.wikidata.org/entity/Q486972;http://dbpedia.org/property/mapCaption;2;0.970142951
http://dbpedia.org/ontology/Settlement;http://dbpedia.org/property/mapCaption;2;0.970191527
Top;http://dbpedia.org/property/wordnet_type;2;0.983341856
Top;http://www.georss.org/georss/point;2;0.988522746
http://www.wikidata.org/entity/Q532;http://www.w3.org/2000/01/rdf-schema#seeAlso;2;0.972273915
Top;http://www.w3.org/2003/01/geo/wgs84_pos#lat;2;0.987700255
Top;http://www.w3.org/2003/01/geo/wgs84_pos#long;2;0.987701217
Top;http://xmlns.com/foaf/0.1/givenName;2;0.985922091
http://dbpedia.org/ontology/Village;http://xmlns.com/foaf/0.1/name;2;0.990620974
http://dbpedia.org/class/yago/Site108651247;http://xmlns.com/foaf/0.1/name;2;0.97509089
