Context;Relation;Maximum_Cardinality
Top;http://dbpedia.org/property/partof;inf
http://dbpedia.org/class/yago/WikicatDistrictsOfIran;http://www.w3.org/2002/07/owl#sameAs;inf
http://www.wikidata.org/entity/Q13414980;http://www.w3.org/2002/07/owl#sameAs;inf
http://dbpedia.org/class/yago/WikicatEnglishCricketers;http://www.w3.org/2002/07/owl#sameAs;inf
http://dbpedia.org/class/yago/WikicatPopulatedPlacesInHkamtiDistrict;http://dbpedia.org/ontology/wikiPageExternalLink;inf
http://dbpedia.org/class/yago/WikicatAustralianRulesFootballersFromVictoria(Australia);http://www.w3.org/2002/07/owl#sameAs;inf
http://dbpedia.org/class/yago/WikicatVillagesInThanjavurDistrict;http://www.w3.org/2002/07/owl#sameAs;inf
http://dbpedia.org/class/yago/WikicatEndemicMothsOfHawaii;http://www.w3.org/2002/07/owl#sameAs;inf
http://dbpedia.org/class/yago/WikicatAustralianRulesFootballersFromWesternAustralia;http://www.w3.org/2002/07/owl#sameAs;inf
http://dbpedia.org/class/yago/WikicatAssemblyConstituenciesOfTamilNadu;http://www.w3.org/2002/07/owl#sameAs;inf
http://dbpedia.org/class/yago/WikicatPopulatedPlacesInSana'aGovernorate;http://dbpedia.org/ontology/wikiPageExternalLink;inf
http://dbpedia.org/class/yago/WikicatUnincorporatedCommunitiesInVirginia;http://www.w3.org/2002/07/owl#sameAs;inf
http://dbpedia.org/ontology/NCAATeamSeason;http://www.w3.org/2002/07/owl#sameAs;inf
http://dbpedia.org/class/yago/WikicatDaysOfTheYear;http://www.w3.org/2002/07/owl#sameAs;inf
http://dbpedia.org/class/yago/BasketballSeason115240633;http://www.w3.org/2002/07/owl#sameAs;inf
http://dbpedia.org/class/yago/WikicatTownshipsInKansas;http://www.w3.org/2002/07/owl#sameAs;inf
http://dbpedia.org/class/yago/WikicatKannada-languageFilms;http://www.w3.org/2002/07/owl#sameAs;inf
http://dbpedia.org/class/yago/WikicatPopulatedPlacesInCentralProvince,SriLanka;http://www.w3.org/2002/07/owl#sameAs;inf
http://dbpedia.org/class/yago/WikicatHighSchoolsInIndia;http://www.w3.org/2002/07/owl#sameAs;inf
http://dbpedia.org/class/yago/WikicatHousesOnTheNationalRegisterOfHistoricPlacesInNewYork;http://www.w3.org/2002/07/owl#sameAs;inf
Top;http://dbpedia.org/property/country;inf
http://dbpedia.org/class/yago/WikicatTownshipsInOhio;http://www.w3.org/2002/07/owl#sameAs;inf
http://www.w3.org/2004/02/skos/core#Concept;http://www.w3.org/2002/07/owl#sameAs;inf
http://dbpedia.org/class/yago/WikicatVulnerablePlants;http://dbpedia.org/ontology/wikiPageExternalLink;inf
http://dbpedia.org/class/yago/WikicatHousesOnTheNationalRegisterOfHistoricPlacesInMaryland;http://www.w3.org/2002/07/owl#sameAs;inf
http://dbpedia.org/class/yago/WikicatDaysOfTheYear;http://dbpedia.org/ontology/wikiPageExternalLink;inf
http://dbpedia.org/class/yago/WikicatHousesOnTheNationalRegisterOfHistoricPlacesInMassachusetts;http://www.w3.org/2002/07/owl#sameAs;inf
http://dbpedia.org/class/yago/WikicatEndangeredPlants;http://dbpedia.org/ontology/wikiPageExternalLink;inf
http://dbpedia.org/class/yago/WikicatPopulatedPlacesInKachinState;http://dbpedia.org/ontology/wikiPageExternalLink;inf
http://dbpedia.org/class/yago/WikicatCommunesOfJura(department);http://dbpedia.org/ontology/wikiPageExternalLink;inf
http://dbpedia.org/class/yago/WikicatSydneySwansPlayers;http://www.w3.org/2002/07/owl#sameAs;inf
http://dbpedia.org/class/yago/WikicatPopulatedPlacesInAnkaraProvince;http://www.w3.org/2002/07/owl#sameAs;inf
http://dbpedia.org/class/yago/WikicatRiversOfRomania;http://www.w3.org/2002/07/owl#sameAs;inf
http://dbpedia.org/class/yago/WikicatPopulatedPlacesInCentralProvince,SriLanka;http://dbpedia.org/ontology/wikiPageExternalLink;inf
http://dbpedia.org/class/yago/WikicatTownshipsInNebraska;http://www.w3.org/2002/07/owl#sameAs;inf
http://dbpedia.org/class/yago/WikicatCollingwoodFootballClubPlayers;http://www.w3.org/2002/07/owl#sameAs;inf
http://dbpedia.org/class/yago/WikicatHousesOnTheNationalRegisterOfHistoricPlacesInDelaware;http://www.w3.org/2002/07/owl#sameAs;inf
http://dbpedia.org/class/yago/WikicatTownshipsInIndiana;http://www.w3.org/2002/07/owl#sameAs;inf
http://dbpedia.org/class/yago/WikicatRuralLocalitiesInTheSakhaRepublic;http://dbpedia.org/ontology/wikiPageExternalLink;inf
http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#TimeInterval;http://www.w3.org/2002/07/owl#sameAs;inf
http://dbpedia.org/class/yago/By-election100183240;http://www.w3.org/2002/07/owl#sameAs;inf
http://www.wikidata.org/entity/Q577;http://www.w3.org/2002/07/owl#sameAs;inf
http://dbpedia.org/class/yago/WikicatHousesOnTheNationalRegisterOfHistoricPlacesInWestVirginia;http://www.w3.org/2002/07/owl#sameAs;inf
http://dbpedia.org/class/yago/WikicatCriticallyEndangeredPlants;http://dbpedia.org/ontology/wikiPageExternalLink;inf
http://dbpedia.org/class/yago/WikicatHamletsInCornwall;http://www.w3.org/2002/07/owl#sameAs;inf
http://schema.org/Event;http://dbpedia.org/ontology/team;inf
http://dbpedia.org/class/yago/WikicatDays;http://www.w3.org/2002/07/owl#sameAs;inf
http://dbpedia.org/class/yago/WikicatTownshipsInNebraska;http://dbpedia.org/ontology/wikiPageExternalLink;inf
http://dbpedia.org/class/yago/WikicatTownshipsInMinnesota;http://www.w3.org/2002/07/owl#sameAs;inf
http://dbpedia.org/class/yago/WikicatRuralDistrictsOfIran;http://www.w3.org/2002/07/owl#sameAs;inf
http://dbpedia.org/class/yago/WikicatStKildaFootballClubPlayers;http://www.w3.org/2002/07/owl#sameAs;inf
http://dbpedia.org/ontology/AustralianRulesFootballPlayer;http://www.w3.org/2002/07/owl#sameAs;inf
http://dbpedia.org/class/yago/WikicatHousesOnTheNationalRegisterOfHistoricPlacesInPennsylvania;http://www.w3.org/2002/07/owl#sameAs;inf
http://dbpedia.org/class/yago/WikicatHousesOnTheNationalRegisterOfHistoricPlacesInVirginia;http://www.w3.org/2002/07/owl#sameAs;inf
Top;http://dbpedia.org/ontology/country;inf
http://dbpedia.org/class/yago/WikicatCommunesOfHaute-Saône;http://dbpedia.org/ontology/wikiPageExternalLink;inf
http://dbpedia.org/ontology/TimePeriod;http://www.w3.org/2002/07/owl#sameAs;inf
http://dbpedia.org/ontology/Event;http://dbpedia.org/ontology/team;inf
http://dbpedia.org/class/yago/WikicatVillagesInTheCzechRepublic;http://dbpedia.org/ontology/wikiPageExternalLink;inf
http://dbpedia.org/class/yago/WikicatPopulatedPlacesInKaraRegion;http://dbpedia.org/ontology/wikiPageExternalLink;inf
http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#Event;http://dbpedia.org/ontology/team;inf
http://dbpedia.org/class/yago/WikicatCarltonFootballClubPlayers;http://www.w3.org/2002/07/owl#sameAs;inf
http://dbpedia.org/class/yago/WikicatPopulatedPlacesInSlovenia;http://dbpedia.org/ontology/wikiPageExternalLink;inf
http://dbpedia.org/class/yago/WikicatTownshipsInMinnesota;http://www.w3.org/2000/01/rdf-schema#comment;12
http://dbpedia.org/class/yago/WikicatPopulatedPlacesInAmasyaProvince;http://dbpedia.org/ontology/abstract;12
http://dbpedia.org/class/yago/WikicatPopulatedPlacesInBabolCounty;http://dbpedia.org/ontology/abstract;12
http://dbpedia.org/class/yago/WikicatBuildingsAndStructuresOnTheNationalRegisterOfHistoricPlacesInVirginia;http://www.w3.org/2000/01/rdf-schema#comment;12
http://dbpedia.org/class/yago/WikicatPopulatedPlacesInTaftCounty;http://www.w3.org/2000/01/rdf-schema#comment;12
http://dbpedia.org/class/yago/WikicatLakesOfNovaScotia;http://www.w3.org/2000/01/rdf-schema#comment;12
http://dbpedia.org/class/yago/Decorativeness104700327;http://www.w3.org/2000/01/rdf-schema#label;12
http://dbpedia.org/class/yago/WikicatCollegeFootballUndefeatedSeasons;http://www.w3.org/2000/01/rdf-schema#comment;12
http://schema.org/RadioStation;http://www.w3.org/2000/01/rdf-schema#comment;12
http://dbpedia.org/class/yago/WikicatCommunesOfDoubs;http://www.w3.org/2000/01/rdf-schema#label;12
http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#Situation;http://www.w3.org/2000/01/rdf-schema#comment;12
http://dbpedia.org/class/yago/WikicatPopulatedPlacesInBaftCounty;http://www.w3.org/2000/01/rdf-schema#label;12
http://dbpedia.org/class/yago/WikicatPopulatedPlacesInAndikaCounty;http://www.w3.org/2000/01/rdf-schema#comment;12
http://www.wikidata.org/entity/Q422211;http://dbpedia.org/ontology/abstract;12
http://dbpedia.org/class/yago/Case107308889;http://dbpedia.org/ontology/abstract;12
http://dbpedia.org/class/yago/WikicatBombardmentSquadronsOfTheUnitedStatesArmyAirForces;http://www.w3.org/2000/01/rdf-schema#label;12
http://dbpedia.org/class/yago/Cricketer109977326;http://www.w3.org/2000/01/rdf-schema#label;12
http://dbpedia.org/class/yago/WikicatEssendonFootballClubPlayers;http://www.w3.org/2000/01/rdf-schema#comment;12
http://dbpedia.org/class/yago/WikicatAll-AmericanGirlsProfessionalBaseballLeaguePlayers;http://dbpedia.org/ontology/abstract;12
http://dbpedia.org/class/yago/WikicatCarltonFootballClubPlayers;http://www.w3.org/2000/01/rdf-schema#comment;12
http://dbpedia.org/class/yago/WikicatPopulatedPlacesInRudsarCounty;http://www.w3.org/2000/01/rdf-schema#label;12
http://dbpedia.org/class/yago/WikicatPopulatedPlacesInBoyer-AhmadCounty;http://www.w3.org/2000/01/rdf-schema#comment;12
http://dbpedia.org/ontology/AustralianRulesFootballPlayer;http://dbpedia.org/ontology/abstract;12
http://dbpedia.org/ontology/GaelicGamesPlayer;http://www.w3.org/2000/01/rdf-schema#comment;12
http://dbpedia.org/class/yago/WikicatBombardmentSquadronsOfTheUnitedStatesArmyAirForces;http://www.w3.org/2000/01/rdf-schema#comment;12
http://dbpedia.org/class/yago/WikicatPopulatedPlacesInKhashCounty;http://www.w3.org/2000/01/rdf-schema#comment;12
http://dbpedia.org/class/yago/WikicatPopulatedPlacesInRudsarCounty;http://dbpedia.org/ontology/abstract;12
